OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 130,2017-083D,2026-09-10T12:14:39.162336,14.34218347,.0002212,86.3934,286.6163,87.4278,272.7171,0,U,43073,999,45634,.44660762E-4,.145E-5,0
IRIDIUM 151,2017-083E,2026-09-10T11:38:07.127808,14.34217593,.00020662,86.3923,286.4023,91.3128,268.8304,0,U,43074,999,45636,-.518894E-5,.5E-7,0
IRIDIUM 134,2017-083F,2026-09-10T12:32:55.173984,14.34217789,.00022601,86.3927,286.3962,90.8159,269.3296,0,U,43075,999,45633,.7776533E-5,.42E-6,0
IRIDIUM 137,2017-083G,2026-09-10T12:51:11.086272,14.34217650,.00017824,86.3927,286.4853,94.8980,265.2420,0,U,43076,999,45640,-.60041E-6,.18E-6,0
IRIDIUM 141,2017-083H,2026-09-10T12:42:03.086496,14.34218692,.00023041,86.3924,286.3137,93.4563,266.6897,0,U,43077,999,45640,.42256335E-4,.138E-5,0
IRIDIUM 153,2017-083J,2026-09-10T11:33:11.117952,14.34217480,.00024473,86.3909,254.7947,90.2619,269.8857,0,U,43078,999,45750,.11849793E-4,.53E-6,0
IRIDIUM 131,2017-083K,2026-09-10T12:23:47.154336,14.34218084,.00022346,86.3931,286.5108,94.1164,266.0287,0,U,43079,999,45633,.11844583E-4,.53E-6,0
IRIDIUM 144,2018-030A,2026-09-10T11:42:19.414944,14.34217467,.00021954,86.3908,254.7190,87.9731,272.1716,0,U,43249,999,44236,.26790771E-4,.95E-6,0
IRIDIUM 149,2018-030B,2026-09-10T11:51:27.318816,14.34217684,.00023478,86.3906,254.6825,90.5084,269.6381,0,U,43250,999,44238,.994331E-5,.48E-6,0
IRIDIUM 157,2018-030C,2026-09-10T13:59:19.145472,14.34216443,.00022033,86.3910,254.7004,89.2752,270.8696,0,U,43251,999,44237,-.51962361E-4,-.126E-5,0
IRIDIUM 140,2018-030D,2026-09-10T12:46:15.091968,14.34218106,.00023246,86.3907,254.7340,89.0463,271.0999,0,U,43252,999,44242,.30805841E-4,.106E-5,0
IRIDIUM 145,2018-030E,2026-09-10T12:27:59.227200,14.34217635,.00020947,86.3908,254.7114,84.4289,275.7146,0,U,43253,999,44235,.17347573E-4,.68E-6,0
IRIDIUM 146,2018-030F,2026-09-10T13:41:03.030144,14.34217211,.00022043,86.3907,254.7021,88.2495,271.8953,0,U,43254,999,44237,.6200014E-5,.37E-6,0
IRIDIUM 148,2018-030G,2026-09-10T12:55:23.242944,14.34217809,.00022328,86.3909,254.7597,91.6948,268.4504,0,U,43255,999,44240,.20150465E-4,.76E-6,0
IRIDIUM 142,2018-030H,2026-09-10T13:50:11.106816,14.34217341,.00020319,86.3907,254.6298,87.7704,272.3725,0,U,43256,999,44237,-.183711E-6,.19E-6,0
IRIDIUM 150,2018-030J,2026-09-10T11:24:03.202848,14.34217420,.00021848,86.3911,254.7913,87.6468,272.4978,0,U,43257,999,44238,-.7899187E-5,-.2E-7,0
IRIDIUM 143,2018-030K,2026-09-10T12:37:07.003200,14.34217615,.0002243,86.3912,254.8660,87.1745,272.9707,0,U,43258,999,44232,.2786747E-5,.28E-6,0
IRIDIUM 161,2018-047C,2026-09-10T12:21:57.907584,14.43280405,.00022421,86.4453,52.7610,95.8848,264.2608,0,U,43478,999,43744,.509964E-5,.37E-6,0
IRIDIUM 152,2018-047D,2026-09-10T11:57:50.275584,14.34217757,.00021856,86.3929,52.6302,91.6665,268.4781,0,U,43479,999,43471,.224432E-5,.26E-6,0
IRIDIUM 147,2018-047E,2026-09-10T12:06:58.074048,14.34217820,.00020469,86.3930,52.6342,88.8440,271.2990,0,U,43480,999,43471,.2727508E-5,.27E-6,0
IRIDIUM 110,2018-047F,2026-09-10T12:16:06.363264,14.34217322,.00022776,86.3933,52.7256,97.1084,263.0371,0,U,43481,999,43470,.4897713E-5,.34E-6,0
IRIDIUM 162,2018-047G,2026-09-10T12:12:52.771968,14.43286840,.0002159,86.4452,52.6536,89.7091,270.4357,0,U,43482,999,43743,.68693008E-4,.251E-5,0
IRIDIUM 160,2018-061A,2026-09-10T10:58:06.183264,14.34217145,.00021402,86.3999,21.1326,94.6951,265.4489,0,U,43569,999,42559,.23029162E-4,.84E-6,0
IRIDIUM 166,2018-061B,2026-09-10T14:55:34.066848,14.34217132,.00020639,86.3997,21.0131,92.8079,267.3353,0,U,43570,999,42564,.49952348E-4,.16E-5,0
IRIDIUM 158,2018-061C,2026-09-10T09:08:30.396768,14.34217638,.00022285,86.3997,21.1237,92.9820,267.1631,0,U,43571,999,42557,.46315494E-4,.149E-5,0
IRIDIUM 165,2018-061D,2026-09-10T09:45:02.359584,14.34217688,.00021004,86.3999,21.1612,91.5937,268.5499,0,U,43572,999,42560,.44294764E-4,.144E-5,0
IRIDIUM 155,2018-061E,2026-09-10T15:32:06.345888,14.34217533,.00021601,86.3996,20.9252,91.3779,268.7664,0,U,43573,999,42560,.18709926E-4,.72E-6,0
IRIDIUM 154,2018-061F,2026-09-10T15:04:42.318912,14.34217791,.00020664,86.4000,21.0711,92.0358,268.1074,0,U,43574,999,42565,.4074534E-4,.134E-5,0
IRIDIUM 163,2018-061G,2026-09-10T14:37:18.357600,14.34217605,.00021924,86.3997,20.9916,94.3036,265.8410,0,U,43575,999,42562,.51134981E-4,.163E-5,0
IRIDIUM 156,2018-061H,2026-09-10T10:39:49.821696,14.34217104,.0002187,86.3999,21.0679,91.3805,268.7641,0,U,43576,999,42559,.36852362E-4,.123E-5,0
IRIDIUM 164,2018-061J,2026-09-10T15:13:50.349792,14.34217827,.0002008,86.3998,21.0300,92.6451,267.4974,0,U,43577,999,42566,.48546749E-4,.156E-5,0
IRIDIUM 159,2018-061K,2026-09-10T09:26:46.294368,14.34217769,.00022014,86.3996,21.0659,95.0128,265.1319,0,U,43578,999,42559,.30899819E-4,.106E-5,0
IRIDIUM 180,2019-002A,2026-09-09T21:42:47.024352,14.34218328,.0002222,86.3990,318.2047,95.6027,264.5422,0,U,43922,999,40113,.50181E-4,.16E-5,0
IRIDIUM 176,2019-002B,2026-09-10T11:00:10.229472,14.72256584,.0002402,86.6109,317.9050,94.1669,265.9823,0,U,43923,999,41179,.71111236E-4,.473E-5,0
IRIDIUM 168,2019-002C,2026-09-10T05:55:58.353888,14.34217007,.00022497,86.3992,318.1413,96.1883,263.9569,0,U,43924,999,40116,.47640589E-4,.153E-5,0
IRIDIUM 173,2019-002D,2026-09-10T02:16:46.729056,14.34217539,.00022822,86.3988,318.0901,94.2920,265.8537,0,U,43925,999,40112,.4920923E-4,.158E-5,0
